agreement,analytic_2d_lower,analytic_2d_supportable,analytic_2d_upper,atom_count,candidate_origin,case_id,certificate_bytes,checker_kernel_ms,checker_kernel_status,checker_process_ms,checker_process_status,coefficient_sum_bits,deterministic_certificate,deterministic_trace,distinct_outcomes,family,feasible_decisions,frontier_outcomes,generated_claim,generated_polarity,generation_ms,ground_class,ground_pareto_efficient,ground_positive_supportable,ground_supportable,ground_truth_ms,max_coefficient_bits,oracle_calls,p,p1_boundary_correct,p1_process_ms,schema_valid,source,strict_margin,trust_level
True,,,,0,epsilon_q42,assignment_p3_s2001_epsilon_q42,1592,1.157233,VERIFIED,181.69049,VERIFIED,0,True,True,120,assignment,120,28,positive_weight_supportable,supportable,1.04136,S+,True,True,True,87.690508,0,1,3,True,199.553692,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,assignment_p3_s2001_hash_control,1631,0.645967,VERIFIED,256.393341,VERIFIED,7,True,True,120,assignment,120,28,nonnegative_weight_unsupported,unsupported,3.636546,DOM,False,False,False,20.249226,6,3,3,True,143.132403,True,random,2023/107,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p3_s2002_epsilon_q42,1639,1.12177,VERIFIED,171.780138,VERIFIED,0,True,True,120,assignment,120,7,nonnegative_weight_supportable,supportable,2.302057,S+,True,True,True,2.077201,0,3,3,True,192.817153,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,assignment_p3_s2002_hash_control,1438,1.066562,VERIFIED,194.083694,VERIFIED,1,True,True,120,assignment,120,7,nonnegative_weight_unsupported,unsupported,1.024194,DOM,False,False,False,1.917261,1,1,3,True,193.277738,True,random,45/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p3_s2003_epsilon_q42,1589,1.09522,VERIFIED,179.805256,VERIFIED,0,True,True,120,assignment,120,8,positive_weight_supportable,supportable,0.746558,S+,True,True,True,2.366464,0,1,3,True,131.022969,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,assignment_p3_s2003_hash_control,1439,1.109717,VERIFIED,133.154627,VERIFIED,1,True,True,120,assignment,120,8,nonnegative_weight_unsupported,unsupported,0.940048,DOM,False,False,False,62.33845,1,1,3,True,193.550932,True,random,50/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p3_s2004_epsilon_q42,1587,1.248115,VERIFIED,185.015964,VERIFIED,0,True,True,120,assignment,120,18,nonnegative_weight_supportable,supportable,1.403592,S+,True,True,True,12.37319,0,2,3,True,204.04988,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,assignment_p3_s2004_hash_control,1437,1.191289,VERIFIED,202.368682,VERIFIED,1,True,True,120,assignment,120,18,nonnegative_weight_unsupported,unsupported,0.899286,DOM,False,False,False,9.15491,1,1,3,True,203.921403,True,random,13/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p3_s2005_epsilon_q42,1643,1.23832,VERIFIED,138.810376,VERIFIED,0,True,True,120,assignment,120,16,nonnegative_weight_supportable,supportable,3.255806,S+,True,True,True,10.453295,0,4,3,True,262.217264,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,assignment_p3_s2005_hash_control,1632,0.813278,VERIFIED,202.641585,VERIFIED,8,True,True,120,assignment,120,16,nonnegative_weight_unsupported,unsupported,1.894127,DOM,False,False,False,7.013273,7,2,3,True,198.376709,True,random,7752/139,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p4_s2001_epsilon_q42,1609,0.878666,VERIFIED,90.532797,VERIFIED,0,True,True,120,assignment,120,55,positive_weight_supportable,supportable,0.902511,S+,True,True,True,3835.860692,0,1,4,True,77.742265,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,assignment_p4_s2001_hash_control,1746,1.345706,VERIFIED,82.863652,VERIFIED,0,True,True,120,assignment,120,55,nonnegative_weight_supportable,supportable,16.499969,S+,True,True,True,2815.871797,0,6,4,True,78.715387,True,random,,P1_FULLY_CHECKABLE
True,,,,2,epsilon_q42,assignment_p4_s2002_epsilon_q42,1642,1.068205,VERIFIED,158.359774,VERIFIED,3,True,True,120,assignment,120,22,nonnegative_weight_unsupported,unsupported,2.558572,UNS,True,False,False,311.900731,3,2,4,True,132.664759,True,random,11/7,P1_FULLY_CHECKABLE
True,,,,1,hash_control,assignment_p4_s2002_hash_control,1456,0.911515,VERIFIED,127.782286,VERIFIED,1,True,True,120,assignment,120,22,nonnegative_weight_unsupported,unsupported,1.667907,DOM,False,False,False,362.745774,1,1,4,True,118.736745,True,random,20/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p4_s2003_epsilon_q42,1612,0.98852,VERIFIED,103.12801,VERIFIED,0,True,True,120,assignment,120,40,positive_weight_supportable,supportable,0.930404,S+,True,True,True,1808.338393,0,1,4,True,109.13105,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,assignment_p4_s2003_hash_control,1456,0.677394,VERIFIED,68.394324,VERIFIED,1,True,True,120,assignment,120,40,nonnegative_weight_unsupported,unsupported,1.132416,DOM,False,False,False,1319.205423,1,1,4,True,74.306938,True,random,56/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p4_s2004_epsilon_q42,1746,1.414558,VERIFIED,130.35245,VERIFIED,0,True,True,120,assignment,120,44,nonnegative_weight_supportable,supportable,9.183433,S+,True,True,True,2306.788775,0,5,4,True,101.62583,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,assignment_p4_s2004_hash_control,1695,1.635134,VERIFIED,86.663585,VERIFIED,0,True,True,120,assignment,120,44,nonnegative_weight_supportable,supportable,17.705064,S+,True,True,True,1747.760394,0,6,4,True,81.089307,True,random,,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,assignment_p4_s2005_epsilon_q42,1826,29.723663,VERIFIED,109.726882,VERIFIED,0,True,True,120,assignment,120,44,positive_weight_supportable,supportable,16.625047,S+,True,True,True,2081.731896,0,6,4,True,104.587335,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,assignment_p4_s2005_hash_control,1668,0.876934,VERIFIED,77.94008,VERIFIED,0,True,True,120,assignment,120,44,nonnegative_weight_supportable,supportable,4.049505,S+,True,True,True,1784.55986,0,4,4,True,78.392929,True,random,,P1_FULLY_CHECKABLE
True,3/22,True,5/14,0,epsilon_q42,explicit_p2_s1001_epsilon_q42,1432,0.92085,VERIFIED,107.65515,VERIFIED,0,True,True,24,explicit_image,24,3,positive_weight_supportable,supportable,1.80941,S+,True,True,True,0.24015,0,3,2,True,81.059166,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1001_hash_control,1389,0.868987,VERIFIED,88.542545,VERIFIED,1,True,True,24,explicit_image,24,3,nonnegative_weight_unsupported,unsupported,0.875521,DOM,False,False,False,0.187761,1,1,2,True,86.448087,True,random,71/1,P1_FULLY_CHECKABLE
True,0/1,True,1/1,0,epsilon_q42,explicit_p2_s1002_epsilon_q42,1412,0.722052,VERIFIED,83.153484,VERIFIED,0,True,True,24,explicit_image,24,1,positive_weight_supportable,supportable,0.692537,S+,True,True,True,0.09363,0,1,2,True,78.763509,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1002_hash_control,1387,0.992121,VERIFIED,83.269624,VERIFIED,1,True,True,24,explicit_image,24,1,nonnegative_weight_unsupported,unsupported,0.844585,DOM,False,False,False,0.116584,1,1,2,True,94.947621,True,random,65/1,P1_FULLY_CHECKABLE
True,9/40,True,13/20,0,epsilon_q42,explicit_p2_s1003_epsilon_q42,1419,0.879127,VERIFIED,109.668446,VERIFIED,0,True,True,24,explicit_image,24,3,positive_weight_supportable,supportable,0.697114,S+,True,True,True,0.191697,0,1,2,True,79.191891,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1003_hash_control,1391,0.524686,VERIFIED,74.747929,VERIFIED,1,True,True,24,explicit_image,24,3,nonnegative_weight_unsupported,unsupported,0.815161,DOM,False,False,False,0.148603,1,1,2,True,88.923728,True,random,58/1,P1_FULLY_CHECKABLE
True,28/57,True,1/1,0,epsilon_q42,explicit_p2_s1004_epsilon_q42,1417,0.798336,VERIFIED,78.154763,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.693519,S+,True,True,True,0.284767,0,1,2,True,74.569341,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1004_hash_control,1388,0.739002,VERIFIED,80.396,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,0.804925,DOM,False,False,False,0.188873,1,1,2,True,80.640108,True,random,14/1,P1_FULLY_CHECKABLE
True,0/1,True,83/94,0,epsilon_q42,explicit_p2_s1005_epsilon_q42,1417,0.796232,VERIFIED,79.805249,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.648271,S+,True,True,True,0.243845,0,1,2,True,79.626386,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1005_hash_control,1389,0.732997,VERIFIED,81.824313,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,0.979787,DOM,False,False,False,0.271646,1,1,2,True,80.438226,True,random,59/1,P1_FULLY_CHECKABLE
True,46/49,True,1/1,0,epsilon_q42,explicit_p2_s1006_epsilon_q42,1417,0.745697,VERIFIED,75.841462,VERIFIED,0,True,True,24,explicit_image,24,2,nonnegative_weight_supportable,supportable,1.133718,S+,True,True,True,0.142303,0,2,2,True,73.024053,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1006_hash_control,1387,0.552748,VERIFIED,74.189477,VERIFIED,1,True,True,24,explicit_image,24,2,nonnegative_weight_unsupported,unsupported,0.855281,DOM,False,False,False,0.142443,1,1,2,True,74.584455,True,random,70/1,P1_FULLY_CHECKABLE
True,0/1,True,11/48,0,epsilon_q42,explicit_p2_s1007_epsilon_q42,1422,0.794049,VERIFIED,82.757806,VERIFIED,0,True,True,24,explicit_image,24,5,nonnegative_weight_supportable,supportable,1.139306,S+,True,True,True,0.264606,0,2,2,True,72.509792,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1007_hash_control,1389,0.577986,VERIFIED,71.270065,VERIFIED,1,True,True,24,explicit_image,24,5,nonnegative_weight_unsupported,unsupported,0.887169,DOM,False,False,False,0.255853,1,1,2,True,72.672379,True,random,34/1,P1_FULLY_CHECKABLE
True,19/43,True,31/35,0,epsilon_q42,explicit_p2_s1008_epsilon_q42,1419,0.842703,VERIFIED,71.0192,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.720539,S+,True,True,True,0.223485,0,1,2,True,71.707005,True,random,,P1_FULLY_CHECKABLE
True,0/1,True,2/63,0,hash_control,explicit_p2_s1008_hash_control,1420,0.707279,VERIFIED,72.11501,VERIFIED,0,True,True,24,explicit_image,24,4,nonnegative_weight_supportable,supportable,1.072115,S+,True,True,True,0.221742,0,2,2,True,72.420543,True,random,,P1_FULLY_CHECKABLE
True,4/17,True,21/64,0,epsilon_q42,explicit_p2_s1009_epsilon_q42,1440,0.80792,VERIFIED,72.887938,VERIFIED,0,True,True,24,explicit_image,24,3,positive_weight_supportable,supportable,1.606806,S+,True,True,True,0.176745,0,3,2,True,73.937334,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1009_hash_control,1388,0.575652,VERIFIED,74.858554,VERIFIED,1,True,True,24,explicit_image,24,3,nonnegative_weight_unsupported,unsupported,0.883954,DOM,False,False,False,0.166349,1,1,2,True,71.617295,True,random,57/1,P1_FULLY_CHECKABLE
True,23/86,True,1/1,0,epsilon_q42,explicit_p2_s1010_epsilon_q42,1417,0.735922,VERIFIED,69.88096,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.62795,S+,True,True,True,0.214882,0,1,2,True,71.983013,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1010_hash_control,1390,0.540129,VERIFIED,73.117306,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,0.929512,DOM,False,False,False,0.182243,1,1,2,True,68.859054,True,random,44/1,P1_FULLY_CHECKABLE
True,1/10,True,94/111,0,epsilon_q42,explicit_p2_s1011_epsilon_q42,1417,0.809923,VERIFIED,72.619561,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.643664,S+,True,True,True,0.243265,0,1,2,True,74.249417,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1011_hash_control,1387,0.583675,VERIFIED,74.394894,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,0.839617,DOM,False,False,False,0.209674,1,1,2,True,73.939593,True,random,6/1,P1_FULLY_CHECKABLE
True,7/19,True,1/1,0,epsilon_q42,explicit_p2_s1012_epsilon_q42,1417,0.760669,VERIFIED,75.187387,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.657225,S+,True,True,True,0.232378,0,1,2,True,85.374764,True,random,,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1012_hash_control,1388,0.581832,VERIFIED,79.944837,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,0.890023,DOM,False,False,False,0.195473,1,1,2,True,79.652324,True,random,15/1,P1_FULLY_CHECKABLE
True,,False,,2,epsilon_q42,explicit_p2_s1013_epsilon_q42,1553,0.639658,VERIFIED,75.231983,VERIFIED,7,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,1.409281,UNS,True,False,False,0.309213,6,2,2,True,81.709636,True,random,190/43,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1013_hash_control,1389,0.592587,VERIFIED,84.552563,VERIFIED,1,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,0.8749,DOM,False,False,False,0.23382,1,1,2,True,78.148567,True,random,71/1,P1_FULLY_CHECKABLE
True,7/90,True,32/35,0,epsilon_q42,explicit_p2_s1014_epsilon_q42,1417,0.730915,VERIFIED,76.908925,VERIFIED,0,True,True,24,explicit_image,24,4,positive_weight_supportable,supportable,0.705006,S+,True,True,True,0.232078,0,1,2,True,78.513324,True,random,,P1_FULLY_CHECKABLE
True,32/35,True,1/1,0,hash_control,explicit_p2_s1014_hash_control,1418,0.774219,VERIFIED,78.890398,VERIFIED,0,True,True,24,explicit_image,24,4,nonnegative_weight_supportable,supportable,1.075511,S+,True,True,True,0.211097,0,2,2,True,81.386232,True,random,,P1_FULLY_CHECKABLE
True,,False,,2,epsilon_q42,explicit_p2_s1015_epsilon_q42,1552,0.582562,VERIFIED,74.194705,VERIFIED,7,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,1.397152,UNS,True,False,False,0.223174,7,2,2,True,81.433316,True,random,41/102,P1_FULLY_CHECKABLE
True,,False,,1,hash_control,explicit_p2_s1015_hash_control,1389,0.979527,VERIFIED,80.558901,VERIFIED,1,True,True,24,explicit_image,24,4,nonnegative_weight_unsupported,unsupported,1.189292,DOM,False,False,False,0.262974,1,1,2,True,80.262548,True,random,76/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1001_epsilon_q42,1471,1.32862,VERIFIED,93.563373,VERIFIED,0,True,True,24,explicit_image,24,8,positive_weight_supportable,supportable,3.307984,S+,True,True,True,2.274466,0,4,3,True,78.44844,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,explicit_p3_s1001_hash_control,1449,1.146847,VERIFIED,79.708423,VERIFIED,0,True,True,24,explicit_image,24,8,nonnegative_weight_supportable,supportable,3.215726,S+,True,True,True,2.173796,0,4,3,True,80.381605,True,random,,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1002_epsilon_q42,1435,0.790013,VERIFIED,77.011238,VERIFIED,0,True,True,24,explicit_image,24,8,positive_weight_supportable,supportable,0.763384,S+,True,True,True,2.326193,0,1,3,True,80.193169,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,explicit_p3_s1002_hash_control,1573,0.592978,VERIFIED,76.122849,VERIFIED,7,True,True,24,explicit_image,24,8,nonnegative_weight_unsupported,unsupported,3.470408,DOM,False,False,False,2.469279,6,3,3,True,75.582804,True,random,52/71,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1003_epsilon_q42,1438,0.82127,VERIFIED,78.764094,VERIFIED,0,True,True,24,explicit_image,24,8,nonnegative_weight_supportable,supportable,1.933676,S+,True,True,True,2.261096,0,3,3,True,79.57587,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,explicit_p3_s1003_hash_control,1576,0.844765,VERIFIED,81.589896,VERIFIED,7,True,True,24,explicit_image,24,8,nonnegative_weight_unsupported,unsupported,3.690878,DOM,False,False,False,2.660544,7,3,3,True,72.296272,True,random,626/89,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1004_epsilon_q42,1433,0.893498,VERIFIED,77.604042,VERIFIED,0,True,True,24,explicit_image,24,13,nonnegative_weight_supportable,supportable,1.293397,S+,True,True,True,5.570092,0,2,3,True,85.760287,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,explicit_p3_s1004_hash_control,1481,0.798395,VERIFIED,76.93229,VERIFIED,0,True,True,24,explicit_image,24,13,positive_weight_supportable,supportable,3.082777,S+,True,True,True,5.442001,0,4,3,True,75.411841,True,random,,P1_FULLY_CHECKABLE
True,,,,3,epsilon_q42,explicit_p3_s1005_epsilon_q42,1749,0.610995,VERIFIED,74.926392,VERIFIED,11,True,True,24,explicit_image,24,12,nonnegative_weight_unsupported,unsupported,3.432971,UNS,True,False,False,4.567651,10,3,3,True,97.735868,True,random,5679/1834,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1005_hash_control,1401,0.897819,VERIFIED,83.206913,VERIFIED,1,True,True,24,explicit_image,24,12,nonnegative_weight_unsupported,unsupported,3.443748,DOM,False,False,False,5.539406,1,3,3,True,78.969627,True,random,3/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1006_epsilon_q42,1431,1.229841,VERIFIED,72.17728,VERIFIED,0,True,True,24,explicit_image,24,8,positive_weight_supportable,supportable,1.170212,S+,True,True,True,3.582966,0,1,3,True,71.215725,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1006_hash_control,1406,0.648972,VERIFIED,70.220204,VERIFIED,1,True,True,24,explicit_image,24,8,nonnegative_weight_unsupported,unsupported,1.062872,DOM,False,False,False,2.151843,1,1,3,True,68.263728,True,random,16/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1007_epsilon_q42,1433,0.98804,VERIFIED,74.636438,VERIFIED,0,True,True,24,explicit_image,24,7,positive_weight_supportable,supportable,0.758296,S+,True,True,True,2.064141,0,1,3,True,73.638043,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1007_hash_control,1404,0.670229,VERIFIED,72.152908,VERIFIED,1,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,0.932356,DOM,False,False,False,1.812405,1,1,3,True,74.189444,True,random,18/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1008_epsilon_q42,1431,1.078585,VERIFIED,74.271311,VERIFIED,0,True,True,24,explicit_image,24,5,positive_weight_supportable,supportable,0.732977,S+,True,True,True,1.211895,0,1,3,True,74.582052,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1008_hash_control,1403,0.560649,VERIFIED,71.12423,VERIFIED,1,True,True,24,explicit_image,24,5,nonnegative_weight_unsupported,unsupported,0.969972,DOM,False,False,False,1.087799,1,1,3,True,70.556811,True,random,57/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1009_epsilon_q42,1433,0.860779,VERIFIED,71.944187,VERIFIED,0,True,True,24,explicit_image,24,7,positive_weight_supportable,supportable,0.758846,S+,True,True,True,1.798273,0,1,3,True,74.279164,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1009_hash_control,1404,0.564385,VERIFIED,74.739503,VERIFIED,1,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,1.005326,DOM,False,False,False,1.874527,1,1,3,True,73.057083,True,random,15/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1010_epsilon_q42,1445,0.858245,VERIFIED,76.11356,VERIFIED,0,True,True,24,explicit_image,24,7,nonnegative_weight_supportable,supportable,1.902158,S+,True,True,True,1.974076,0,3,3,True,75.588378,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1010_hash_control,1402,0.828716,VERIFIED,74.666313,VERIFIED,1,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,0.964534,DOM,False,False,False,1.742659,1,1,3,True,69.342151,True,random,9/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1011_epsilon_q42,1435,0.86213,VERIFIED,68.196542,VERIFIED,0,True,True,24,explicit_image,24,9,positive_weight_supportable,supportable,0.762382,S+,True,True,True,3.001153,0,1,3,True,75.133097,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,explicit_p3_s1011_hash_control,1579,0.530655,VERIFIED,73.210995,VERIFIED,7,True,True,24,explicit_image,24,9,nonnegative_weight_unsupported,unsupported,1.802619,DOM,False,False,False,2.512862,6,2,3,True,74.201116,True,random,618/83,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1012_epsilon_q42,1438,0.838235,VERIFIED,66.684948,VERIFIED,0,True,True,24,explicit_image,24,8,positive_weight_supportable,supportable,0.776662,S+,True,True,True,2.530749,0,1,3,True,69.339884,True,random,,P1_FULLY_CHECKABLE
True,,,,0,hash_control,explicit_p3_s1012_hash_control,1436,0.802561,VERIFIED,79.537632,VERIFIED,0,True,True,24,explicit_image,24,8,nonnegative_weight_supportable,supportable,1.187047,S+,True,True,True,2.254535,0,2,3,True,78.456012,True,random,,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1013_epsilon_q42,1431,1.064428,VERIFIED,72.292885,VERIFIED,0,True,True,24,explicit_image,24,3,positive_weight_supportable,supportable,0.771325,S+,True,True,True,0.522963,0,1,3,True,75.349792,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1013_hash_control,1404,0.819327,VERIFIED,68.801017,VERIFIED,1,True,True,24,explicit_image,24,3,nonnegative_weight_unsupported,unsupported,1.022681,DOM,False,False,False,0.634089,1,1,3,True,68.741208,True,random,63/1,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1014_epsilon_q42,1433,0.780628,VERIFIED,67.89817,VERIFIED,0,True,True,24,explicit_image,24,9,nonnegative_weight_supportable,supportable,1.208249,S+,True,True,True,2.811459,0,2,3,True,69.44146,True,random,,P1_FULLY_CHECKABLE
True,,,,2,hash_control,explicit_p3_s1014_hash_control,1577,0.617615,VERIFIED,72.415816,VERIFIED,7,True,True,24,explicit_image,24,9,nonnegative_weight_unsupported,unsupported,1.931431,DOM,False,False,False,2.659111,6,2,3,True,70.379107,True,random,96/7,P1_FULLY_CHECKABLE
True,,,,0,epsilon_q42,explicit_p3_s1015_epsilon_q42,1433,0.796643,VERIFIED,69.095009,VERIFIED,0,True,True,24,explicit_image,24,7,positive_weight_supportable,supportable,0.717234,S+,True,True,True,1.87722,0,1,3,True,72.391314,True,random,,P1_FULLY_CHECKABLE
True,,,,1,hash_control,explicit_p3_s1015_hash_control,1402,0.595331,VERIFIED,68.664889,VERIFIED,1,True,True,24,explicit_image,24,7,nonnegative_weight_unsupported,unsupported,1.016362,DOM,False,False,False,1.774306,1,1,3,True,67.240727,True,random,5/1,P1_FULLY_CHECKABLE
